date,open,high,low,close,volume
2025-03-03,32.6,33.05,32.5,32.75,2224722.0
2025-03-04,32.6,32.6,32.35,32.55,1424398.0
2025-03-10,33.2,33.25,32.85,33.05,794135.0
2025-03-11,32.95,33.25,32.6,33.25,1317464.0
2025-03-14,33.5,34.2,33.5,34.0,2339762.0
2025-03-17,34.1,35.05,34.1,34.3,3644974.0
2025-03-18,34.35,34.4,34.1,34.15,859822.0
2026-05-07,30.9,31.1,30.9,31.05,849438.0
2026-05-08,31.0,31.35,30.85,30.95,953806.0
2026-05-11,31.0,31.1,30.9,31.0,865095.0
2026-05-12,31.25,31.3,31.05,31.15,981020.0
2026-05-13,31.05,31.05,30.8,30.85,996526.0
2026-05-14,31.0,31.0,30.7,30.75,694659.0
2026-05-15,30.75,31.25,30.65,30.65,1423744.0
2026-05-18,30.65,30.7,30.5,30.7,686606.0
2026-05-19,30.6,30.95,30.6,30.65,963849.0
2026-05-20,30.65,30.8,30.6,30.65,522014.0
2026-05-21,30.95,30.95,30.7,30.9,554996.0
2026-05-22,30.95,31.05,30.75,30.8,845018.0
2026-05-25,30.8,30.8,30.45,30.55,1608657.0
2026-05-26,30.6,30.6,30.3,30.35,1182413.0
2026-05-27,30.35,30.4,30.2,30.25,1933651.0
2026-05-28,30.3,30.3,30.05,30.05,1417221.0
2026-05-29,30.05,30.15,29.95,30.15,1503031.0
2026-06-01,30.05,30.15,29.9,30.1,1431535.0
2026-06-02,30.1,30.4,30.05,30.2,1239489.0
2026-06-03,30.4,30.45,30.1,30.35,1355328.0
2026-06-04,30.4,30.65,30.35,30.5,1015491.0
2026-06-05,30.65,30.85,30.55,30.7,1023086.0
2026-06-08,29.9,30.35,29.75,30.25,1116441.0
2026-06-09,30.25,30.8,30.25,30.5,1020088.0
2026-06-10,30.5,30.65,30.35,30.4,1015863.0
2026-06-11,30.5,30.6,30.1,30.25,1042146.0
2026-06-12,30.4,30.65,30.35,30.5,860711.0
2026-06-15,30.6,30.85,30.6,30.75,816397.0
2026-06-16,30.8,30.8,30.6,30.65,383270.0
2026-06-17,30.65,30.85,30.6,30.8,568747.0
2026-06-18,30.8,31.25,30.8,30.95,1060737.0
